sentence_id,source_sentence,translator,human_translations,subject_pronouns,pronoun_labels,evaluation_score,opus-tatoeba-en-tr,m2m100-418M,NLLB200-3.3B,translategemma-4b,llama3.1-IT-8B,subject_pro_human_translations,pro_labels_human_translations,subject_pro_opus-tatoeba-en-tr,pro_labels_opus-tatoeba-en-tr,subject_pro_m2m100-418M,pro_labels_m2m100-418M,subject_pro_NLLB200-3.3B,pro_labels_NLLB200-3.3B,subject_pro_translategemma-4b,pro_labels_translategemma-4b,subject_pro_llama3.1-IT-8B,pro_labels_llama3.1-IT-8B
70,"You like to keep conversations light, whereas I often dive into serious topics.",Translator 1,"Sen daha iç açıcı şeyler konuşmayı seviyorken, ben derin konular konuşmayı severim.","['you', 'i']","[1, 1]",5,"Siz sohbetleri hafife almayı severken, ben sık sık ciddi konulara dalıyorum.","Konuşmalarınızı açık tutmayı seviyorsunuz, çoğu zaman ciddi konulara dalıyorum.","Sen basit sohbetleri seviyorsun, oysa ben sık sık ciddi konulara dalıyorum.","Sıradan ve eğlenceli sohbetlere yönelmekten hoşlanırken, ben genellikle ciddi konulara girerim.","Konuşmalarınızı hafif tutmayı seviyorsunuz, ben ise genellikle ciddi konulara dalmayı severim.","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
71,"We choose the safest route, but they always take the most exciting one.",Translator 2,"Biz en güvenli yolu seçeriz, onlar ise her zaman en heyecanlı olanı.","['we', 'they']","[1, 1]",5,Biz en güvenli yolu seçeriz ama onlar her zaman en heyecan verici yolu seçerler.,"Biz en güvenli yolu seçiyoruz, ama onlar her zaman en heyecan verici birini alır.","Biz en güvenli yolu seçeriz, ama onlar her zaman en heyecanlı olanı seçerler.","Biz en güvenli yolu seçiyoruz, ancak onlar her zaman en heyecan verici olanı tercih ediyor.","En güvenli rotu seçeriz, ancak onlar her zaman en heyecan verici rotayı seçer.","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
72,"She follows instructions exactly, while he improvises from the beginning.",Translator 2,"O talimatlara harfiyen uyar, o ise en baştan doğaçlama yapar.","['she', 'he']","[1, 1]",5,"O talimatlara harfiyen uyarken, o da başından beri doğaçlama yapıyor.","İpuçlarını tam olarak takip ederken, başından beri iyileşir.","O, talimatları tam olarak takip ederken, o baştan beri doğaçlama yapıyor.","O, talimatları tam olarak uygularken, o ise başından itibaren özgürce hareket eder.","O talimatları tam olarak takip ederken, o baştan keyfi olarak devam eder.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
73,"I work best under pressure, whereas you need plenty of time to prepare.",Translator 1,"Ben en iyi baskı altında çalışırım, sen ise kendini hazırlamak için zamana ihtiyaç duyarsın.","['i', 'you']","[1, 1]",5,"Ben en iyi baskı altında çalışırım, sense hazırlanmak için bolca zamana ihtiyacın var.","En iyisi baskı altında çalışıyorum, hazırlanmak için çok fazla zaman gerekiyor.","Ben baskı altında en iyi çalışırım, oysa senin hazırlanman için bolca zamana ihtiyacın var.","Ben en iyi şekilde baskı altında çalışırım, siz ise hazırlık için bol zamanınız gerekir.","Baskı altında en iyi çalışıyorum, siz ise hazırlanmak için bol miktarda zaman gerektiriyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
74,"They celebrate loudly, but we mark special days quietly.",Translator 1,"Onlar özel günleri daha gürültülü kutlarken, biz daha sakin kutlarız.","['they', 'we']","[1, 1]",5,Yüksek sesle kutluyorlar ama biz özel günleri sessizce işaretliyoruz.,"Onlar yüksek sesle kutluyorlar, ama özel günleri sessizce işaretliyoruz.","Onlar gürültülü kutlarlar, ama biz özel günleri sessizce kutlarız.","Onlar yüksek sesle kutlarlar, ancak biz özel günleri sessizce kutluyoruz.","Çok gürültülü kutluyorlar, ama biz özel günleri sakin bir şekilde işaretliyoruz.","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""-""]","[""1"", ""0""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
75,"He trusts his intuition, while she relies on careful research.",Translator 1,"O sezgilerine güvenirken, o dikkatli bir araştırmayı esas alır.","['he', 'she']","[1, 1]",5,"O sezgilerine güvenirken, o da dikkatli bir araştırmaya güveniyor.",İçgüdüsüne güveniyor ve dikkatli araştırmalara güveniyor.,"O, sezgisine güveniyor, o ise dikkatli araştırmaya güveniyor.","O, sezgisine güvenirken, diğer ise dikkatli araştırmaya dayanır.","O, sezgisine güveniyor, oysa o dikkatli araştırmaya güveniyor.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""diğer""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
76,"You prefer solo projects, whereas I enjoy collaborating with a big team.",Translator 2,"Sen bireysel projeleri tercih ediyorsun, ben ise büyük bir ekiple çalışmaktan keyif alıyorum.","['you', 'i']","[1, 1]",5,"Sen solo projeleri tercih ediyorsun, bense büyük bir takımla işbirliği yapmaktan hoşlanıyorum.","Yalnız projeleri tercih ediyorsunuz, büyük bir takımla işbirliği yapmaktan zevk alıyorum.",Sen solo projeleri tercih ederken ben büyük bir takımla çalışmaktan hoşlanıyorum.,"Ben, büyük bir ekiple işbirliği yapmaktan keyif alırken, siz tek başınıza projeler yapmayı tercih ediyorsunuz.","Sola projelere özen gösteriyorsunuz, ben ise büyük bir ekiple birlikte çalışmaktan keyif alıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
77,"We decorate our home minimally, but they fill every corner with souvenirs.",Translator 1,"Biz evimizi minimal dekore ediyoruz, ama onlar her tarafı eşyayla dolduruyorlar.","['we', 'they']","[1, 1]",5,Evimizi minimum dekore ediyoruz ama her köşeyi hatıralarla dolduruyorlar.,Evimizi en azından dekore ediyoruz ama her köşeyi hatıra ile dolduruyorlar.,Evimizi çok az süslemişizdir ama onlar her köşesini hatıralarla dolduruyorlar.,"Biz evimizi minimum düzeyde dekore ediyoruz, ancak onlar her köşeyi hatıralarla dolduruyor.","Evimizi minimalist olarak dekore ediyoruz, ama onlar her köşeyi hediye ile dolduruyorlar.","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""onlar""]","[""0"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
78,"She exercises at sunrise, while he goes to the gym just before closing.",Translator 1,"O güneş doğarken antremana gider, o ise gym kapanmadan tam önce.","['she', 'he']","[1, 1]",5,Gündoğumunda egzersiz yapıyor. Adam da tam kapanmadan önce spor salonuna gidiyor.,"Güneş doğduğunda egzersiz yapıyor, o sadece kapatılmadan önce spor salonuna gidiyor.","O, gün doğarken egzersiz yapar, o da kapanmadan hemen önce spor salonuna gider.","O, gün doğarken egzersiz yaparken, o ise spor salonuna kapanmadan hemen gidiyor.","Gündoğumu saatlerinde spor yaparken, o ise kapamanın hemen öncesinde fitness merkezine gider.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""adam""]","[""0"", ""1""]","[""-"", ""o""]","[""0"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
79,"He keeps his desk spotless, while hers is always covered in papers.",Translator 2,"O masasını tertemiz tutarken, onunki sürekli kâğıtlarla doludur.",['he'],[1],5,"Masasını tertemiz tutarken, onunki her zaman kağıtlarla kaplıdır.","O, masasını yersiz tutar, o da her zaman kağıtlarla kaplıdır.","Masasını lekesiz tutuyor, ama onunki her zaman kağıtlarla kaplı.","O, masasını her zaman tertemiz tutar, o ise masası her zaman kağıtlarla doludur.","Masası her zaman boş dururken, onun masası her zaman kağıtlarla kaplıdır.","[""o""]","[""1""]","[""-""]","[""0""]","[""o""]","[""1""]","[""-""]","[""0""]","[""o""]","[""1""]","[""-""]","[""0""]"
80,"You remember every birthday, but I constantly lose track of dates.",Translator 1,"Sen doğum günlerini hep hatırlıyorsun, ama ben sürekli unutuyorum.","['you', 'i']","[1, 1]",5,Her doğum gününü hatırlıyorsun ama ben sürekli tarihleri unutuyorum.,Her doğum gününü hatırlıyorsun ama sürekli tarihlerin izini kaybederim.,Sen her doğum gününü hatırlıyorsun ama ben sürekli tarihleri unutuyorum.,"Her doğum gününi hatırlıyorsun, ama ben sürekli tarihlerden habersiz kalıyorum.",Her doğum gününüzü hatırlıyorsunuz ama ben sürekli tarihleri takip edemiyorum.,"[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""sen"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
81,"We listen to classical music, whereas they dance to electronic beats.",Translator 2,"Biz klasik müzik dinleriz, onlar ise elektronik ritimlerle dans eder","['we', 'they']","[1, 1]",5,"Biz klasik müzik dinliyoruz, onlar ise elektronik ritimlerle dans ediyorlar.","Klasik müziği dinliyoruz, elektronik dövmelere dans ediyorlar.","Biz klasik müzik dinliyoruz, onlar ise elektronik ritmlere dans ediyorlar.","Biz klasik müzik dinliyoruz, onlar ise elektronik ritmlere göre dans ediyor.","Sınırlı klasik müziği dinlerken, onlar elektronik ritmlere danslıyor.","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
82,"She keeps secrets easily, while he shares news the moment he hears it.",Translator 2,"O sır saklamayı bilir, o ise duyduğu haberi anında yayar.","['she', 'he']","[1, 1]",5,"O kolayca sır saklarken, o da duyduğu anda haberleri paylaşır.","Sırları kolayca tutar, haberleri duyduğu anda paylaşır.","O kolayca sır saklar, o ise haberleri duyduğu anda paylaşır.","O kolayca sır tutar, o ise duyduğu an hemen haberleşir.","O kolayca sır saklar, oysa o haberleri duyunca hemen paylaşıyor.","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]"
83,"She collects vintage stamps, though he has no interest in hobbies like that.",Translator 1,"O vintage pulları toplar, fakat onun hiç böyle hobileri yoktur.","['she', 'he']","[1, 0]",5,Eski pulları topluyor ama onun böyle hobilerle hiç ilgisi yok.,"Vintage çubukları topluyor, ancak böyle bir hobi ile ilgilenmiyor.","Eski pulları topluyor, ama onun bu tür hobilerle ilgisi yok.","O, eski siketi toplar, ancak o, böyle hobilerden hiç ilgi duymayan biridir.","O eski damga koleksiyonu topluyor, oysa o gibi hobilerde hiç ilgi göstermiyor.","[""o"", ""-""]","[""1"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""-""]","[""1"", ""0""]"
84,They hike every weekend; however we stay home to read books instead.,Translator 1,"Onlar her haftasonu yürüyüşe giderler, ama biz onun yerine evde kalıp kitap okuruz.","['they', 'we']","[1, 1]",5,Her hafta sonu yürüyüşe çıkarlar; ama biz onun yerine evde kalıp kitap okuruz.,Onlar her hafta sonu çıkıyorlar; ama biz yerine kitap okumak için evde kalıyoruz.,Onlar her hafta sonu yürüyüşe çıkıyorlar; ancak biz bunun yerine evde kitap okumak için kalıyoruz.,Her hafta sonu yürüyüşe çıkıyorlar; ancak biz bunun yerine evde kitap okumayı tercih ediyoruz.,Her hafta dağları tırmanıyorlar; ancak biz evde kitap okumak yerine evde kalıyoruz.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
85,"He paints landscapes beautifully, yet she specializes in abstract designs.",Translator 1,"O çok güzel manzara resimleri çizer, o ise soyut tasarımlarda uzmandır.","['he', 'she']","[1, 1]",5,Manzaraları çok güzel boyuyor ama kadın soyut tasarımlar konusunda uzman.,"Manzaraları güzel bir şekilde boyamaktadır, ancak abstrak tasarımlar konusunda uzmanlaşmıştır.","O güzel manzara resimleri yaparken, o soyut tasarımlarda uzmanlaşmıştır.","O, manzaraları harika bir şekilde resimler, ancak o soyut tasarımlarda uzmanlaşmıştır.","Manzaraları güzel olarak boyuyor, ancak o soyut tasarımlarda uzmanlaşmıştır.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""kadın""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
86,"I bake fresh bread daily, while you buy it from the store every time.",Translator 1,"Ben her gün taze ekmek pişiriyorum, sen gidip fırından alıyorsun.","['i', 'you']","[1, 1]",5,"Ben her gün taze ekmek pişiriyorum, sense her seferinde mağazadan alıyorsun.","Her gün taze ekmek pişiriyorum, her seferinde mağazadan satın alıyorsunuz.",Ben her gün taze ekmek pişirirken sen her zaman mağazadan alıyorsun.,"Ben her gün taze ekmek yapıyorum, siz ise her seferinde mağazadan alıyorsunuz.","Gündelik olarak taze ekmek pişiririm, siz ise her seferinde marketten alıyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
87,"We go to the cinema regularly, but they watch movies at home exclusively.",Translator 1,"Biz düzenli olarak sinemaya gideriz, ama onlar genelde evde film izler.","['we', 'they']","[1, 1]",5,Sinemaya düzenli olarak gideriz ama sadece evde film seyrederler.,"Biz düzenli olarak sinemaya gidiyoruz, ama onlar sadece evde film izliyorlar.","Biz sinemaya düzenli olarak gideriz, ama onlar evde film izlerler.","Düzenli olarak sinemaya gideriz, ancak onlar sadece evde film izlerler.","Sınema'ya düzenli olarak gidiyoruz, ama onlar evlerinde sadece filmler izliyor.","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
88,"You meditate before work, whereas I jump straight into tasks without pause.",Translator 1,"Sen işten önce meditasyon yapıyorsun, ben hiç ara vermeden direk işlere dalıyorum.","['you', 'i']","[1, 1]",5,"Sen işten önce meditasyon yapıyorsun, ben ise hiç duraklamadan görevlere atlıyorum.","Sen çalışmadan önce meditasyon yapıyorsun, ben ise durmadan görevlere doğru atlıyorum.","Sen işten önce derin düşünüyorsun, bense durmadan işe atlıyorum.","Ben işe başlamadan önce meditasyon yaparım, siz ise hiç durmadan doğrudan işe koyulursunuz.","Çalışmadan önce meditasyon yaparken, ben ise devamlı işlere atlıyorum.","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""sen"", ""ben""]","[""1"", ""1""]","[""siz"", ""ben""]","[""1"", ""1""]","[""-"", ""ben""]","[""0"", ""1""]"
89,They garden in the backyard; however we fill our space with patio furniture.,Translator 1,Onlar arka bahçeyle ilgileniyorlar; biz de verandamızı eşyalarla dolduruyoruz.,"['they', 'we']","[1, 1]",5,Bahçede bahçe yapıyorlar; ama biz kendi yerimizi bahçe mobilyalarıyla dolduruyoruz.,Arka bahçede bahçeler; ancak alanımızı patio mobilyaları ile dolduruyoruz.,Bahçeleri arka bahçede ama bizler mekanımızı bahçe mobilyalarıyla dolduruyoruz.,"Onlar bahçede bahçeliyor; ancak biz, verandada mobilyalarla yaşam alanımızı dolduruyoruz.",Bahçeyi arka bahçede yetiştiriyoruz; ancak biz teras mobilyalarıyla alanımızı dolduruyoruz.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""bizler""]","[""0"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
90,"He journals every evening, yet she prefers to scroll through social media.",Translator 2,"O her akşam günlük yazar, o ise sosyal medyada gezinmeyi tercih eder.","['he', 'she']","[1, 1]",5,"Her akşam günlük tutuyor, ama kadın sosyal medyada kaymayı tercih ediyor.","Her akşam gazete yapıyor, ama sosyal medya üzerinden kaydırmayı tercih ediyor.","Her akşam günlük yazarken, o sosyal medyada gezinmeyi tercih ediyor.","Her, her akşamları günlüğünü tutar, ancak o sosyal medyada gezinmeyi tercih eder.","Her akşam günlüğünü tutar, ancak o sosyal medyada scroll etmekten hoşlanıyor.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""kadın""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""o""]","[""0"", ""1""]","[""her"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
91,"I cycle to the office, while you drive there every day without fail.",Translator 2,"Ben işe bisikletle giderim, sen ise her gün arabayla.","['i', 'you']","[1, 1]",5,"Ben ofise gidiyorum, sense her gün oraya gidiyorsun.","Ben ofise bisiklet yapıyorum, her gün başarısız olmadan oraya gidiyorsun.",Ben ofise bisikletle giderken sen her gün oraya arabayla gidiyorsun.,"Ben ofise bisikletle gidiyorum, siz ise her gün aynı şekilde araba ile gidiyorsunuz.","Ofiste işe giderken bisikletle gidiyorum, siz ise her gün başarısız olmayarak orada araçla gidiyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
92,"We host board game nights, but they organize dance parties instead.",Translator 2,"Biz masa oyunu geceleri düzenleriz, onlar ise dans partileri.","['we', 'they']","[1, 1]",5,Masa oyunu gecelerine ev sahipliği yapıyoruz ama onun yerine dans partileri düzenliyorlar.,"Biz tablo oyun geceleri ev sahipliği, ama onlar yerine dans partileri düzenler.","Biz masa oyunları geceleri sunuyoruz, ama onlar bunun yerine dans partileri düzenliyorlar.","Biz masa oyunları geceleri düzenliyoruz, ancak onlar dans partileri düzenliyor.",Bordu oyun geceleri düzenliyoruz ama onlar dans partileri düzenlerler.,"[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""onlar""]","[""0"", ""1""]"
93,"She studies history books, though he focuses on science magazines only.",Translator 2,"O tarih kitapları okur, o ise sadece bilim dergilerine odaklanır.","['she', 'he']","[1, 1]",5,Tarih kitapları okuyor ama sadece bilim dergilerine odaklanıyor.,"Tarih kitaplarını inceliyor, ancak sadece bilim dergilerine odaklanıyor.","O tarih kitaplarını okur, o ise sadece bilim dergilerine odaklanır.","O, tarih kitapları okurken, o ise sadece bilim dergilerine odaklanıyor.","Tarih kitaplarını okuyor, oysa o sadece bilim dergilerini odaklıyor.","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
94,They swim laps at dawn; however we lounge by the pool later in the day.,Translator 2,"Onlar şafak saatinde kulvarda yüzer, biz ise günün ilerleyen saatlerinde havuz kenarında dinleniriz.","['they', 'we']","[1, 1]",4,Onlar şafakta yüzerler; ama biz günün ilerleyen saatlerinde havuzun yanında dinleniriz.,"Gün geçtikçe havuzda yıkanıyorlar, gün geçtikçe havuzda yıkanıyoruz.",Şafakta yüzüyorlar; ancak biz günün ilerleyen saatlerinde havuzun yanında dinleniyoruz.,Sabah erken yüzerler; ancak günün geri kalanında havuz başında dinleniriz.,Geceyarısı yüzerler; Ancak biz gündüzün ilerisinde havuzun yanında dinleniyoruz.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""biz""]","[""0"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""biz""]","[""0"", ""1""]"
95,"He composes music on weekends, but she listens to podcasts nonstop.",Translator 2,"O hafta sonları müzik besteler, o ise durmaksızın podcast dinler.","['he', 'she']","[1, 1]",5,Adam hafta sonları müzik besteliyor ama kadın sürekli podcast dinliyor.,Haftasonu müziği yapıyor ama sürekli podcast'lere kaydediyor.,"O hafta sonları müzik besteler, ama o durmadan podcast dinliyor.","O, hafta sonları müzik besteler, ancak o sürekli olarak podcast dinler.","Hafta sonlarında müzikler hazırlar, ama o podcastlere kesintisiz dinliyor.","[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""o"", ""o""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
96,"I weave baskets from reeds, while you purchase them from markets.",Translator 1,"Ben kamışlardan sepet örüyorum, sen dükkandan alıyorsun.","['i', 'you']","[1, 1]",5,"Ben sazlıklardan sepet örerken, sen çarşılardan alıyorsun.","Satın alırken çorapları yıkıyorum, pazarlardan satın alıyorsun.","Ben kamıştan sepet örüyorum, sizse pazarlardan alıyorsunuz.","Ben otlardan sepetler dokuyorum, sen ise bunları pazardan alıyorsun.","Kumruları kuyulardan dokurum, siz de marketlerden alıyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""ben"", ""siz""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""-"", ""siz""]","[""0"", ""1""]"
97,"We stargaze on clear nights, but they sleep early regardless of the sky.",Translator 1,"Biz berrak gecelerde gökyüzündeki yıldızlara bakıp dalıyoruz, onlar erkenden uyuyorlar.","['we', 'they']","[1, 1]",5,Açık gecelerde gaz yaparız ama gökyüzü ne olursa olsun erken uyurlar.,Açık gecelerde yıldızlıyız ama gökyüzüne bakılmaksızın erken uyuyorlar.,"Biz açık gecelerde yıldızlara bakıyoruz, ama onlar gökyüzü ne olursa olsun erken uyuyorlar.","Berrak gecelerde yıldızları izliyoruz, ancak gökyüzü ne olursa olsun erken uyuyorlar.","Beyaz gecelerde gökyüzüne bakarız, ancak onlar hava durumuna bakmaksızın erken uyur.","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""-""]","[""0"", ""0""]","[""biz"", ""onlar""]","[""1"", ""1""]","[""-"", ""-""]","[""0"", ""0""]","[""-"", ""onlar""]","[""0"", ""1""]"
98,They forage for wild berries; however we always shop at supermarkets.,Translator 2,"Onlar yabani orman meyveleri toplar, biz ise her zaman süpermarketten alışveriş yaparız.","['they', 'we']","[1, 1]",5,Yabani böğürtlenleri ararlar; ama biz her zaman süpermarketlerden alışveriş yaparız.,Onlar vahşi tahıllar için pişiriyorlar; ancak her zaman süpermarketlerde alışveriş yapıyoruz.,Onlar vahşi meyveler için yiyecek ararlar; ancak biz her zaman süpermarketlerde alışveriş yaparız.,Onlar ormanlarda yabani meyveler toplar; ancak biz her zaman süpermarketlerden alışveriş yaparız.,Beyaz asma ve yabani meyveler için toplayıp topluyorlar; ancak biz her zaman marketten alışveriş yapıyoruz.,"[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]","[""onlar"", ""-""]","[""1"", ""0""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""onlar"", ""biz""]","[""1"", ""1""]","[""-"", ""biz""]","[""0"", ""1""]"
99,"He recites poetry aloud, yet she whispers it to herself quietly.",Translator 1,"O şiirlerini yüksek sesle okur, o ise kendi kendine fısıldayarak.","['he', 'she']","[1, 1]",5,Adam yüksek sesle şiir okuyor ama kadın sessizce kendi kendine fısıldıyor.,"O şiirleri yüksek sesle söylüyor, ama o sessizce kendine söylüyor.","Adam şiirleri yüksek sesle okuyor, ama kadın sessizce kendi kendine fısıldıyor.","O yüksek sesle şiir okurken, o ise sessizce kendi kendine fısıldar.","Şiirleri yüksek sesle okur, fakat o sessizce kendi kendine fısıldar.","[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""adam"", ""kadın""]","[""1"", ""1""]","[""o"", ""o""]","[""1"", ""1""]","[""-"", ""o""]","[""0"", ""1""]"
100,"I tend to bonsai trees, while you grow tall sunflowers in rows.",Translator 2,"Ben bonsai ağaçlarıyla ilgilenirim, sen ise sıralar halinde uzun ayçiçekleri yetiştirirsin.","['i', 'you']","[1, 1]",5,"Ben bonsai ağaçlarıyla ilgileniyorum, sense sıra sıra uzun ayçiçeği yetiştiriyorsun.","Ben bonsai ağaçları eğilimindim, yüksek güneş çiçekleri sıralarda yetiştirirken.","Ben bonsai ağaçlarına bakıyorum, sen ise uzun güneşçiçekler yetiştiriyorsun.","Ben genellikle bonsai ağaçlarını yetiştiririm, siz ise sıralı olarak büyük zambakları yetiştiriyorsunuz.","Ben bonsai ağaçlarına bakarken, siz sıra sıra yüksek güller yetiştüyorsunuz.","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""-""]","[""1"", ""0""]","[""ben"", ""sen""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]","[""ben"", ""siz""]","[""1"", ""1""]"
